cluster,location_geometry
96,"POLYGON ((34.00702 -118.31339, 34.00390176 -118.31993369, 34.0003135 -118.3139351, 34.00040089 -118.31365443, 34.00043207 -118.31363163, 34.00702 -118.31339))"
97,"POLYGON ((34.11131856 -118.27445745, 34.1089254 -118.2782879, 34.10870684 -118.27815608, 34.10640165 -118.27623669, 34.10761951 -118.2739351, 34.10895999 -118.27330646, 34.11131856 -118.27445745))"
98,"POLYGON ((34.11304148 -118.26794076, 34.1103017 -118.26622584, 34.10969546 -118.2647705, 34.10976397 -118.26313904, 34.10977529 -118.26306888, 34.10981887 -118.26307546, 34.1098653 -118.26311509, 34.11104855 -118.26456764, 34.11304148 -118.26794076))"
99,"POLYGON ((34.0645026 -118.3271342, 34.0655876 -118.3264543, 34.0659403 -118.326909, 34.065996 -118.3269881, 34.064881 -118.3274605, 34.064837 -118.3274769, 34.064764 -118.3274688, 34.0645026 -118.3271342))"
100,"POLYGON ((34.04886531 -118.37528287, 34.05037711 -118.37385923, 34.05051349 -118.37386851, 34.05287117 -118.37448589, 34.0551184 -118.3753267, 34.0550983 -118.3753824, 34.05474123 -118.3762732, 34.05230506 -118.38128222, 34.0499775 -118.377725, 34.04886531 -118.37528287))"
101,"POLYGON ((34.04093746 -118.3639249, 34.03659785 -118.36377159, 34.03652428 -118.36365222, 34.03650979 -118.36361585, 34.0361016 -118.3600807, 34.03956147 -118.36237587, 34.04093746 -118.3639249))"
102,"POLYGON ((34.01285374 -118.33565637, 34.01691986 -118.33055025, 34.01941796 -118.33471047, 34.01285374 -118.33565637))"
103,"POLYGON ((34.08347324 -118.21292453, 34.07534968 -118.21425479, 34.0735007 -118.2086404, 34.07424388 -118.20326799, 34.08302261 -118.19988409, 34.08303523 -118.19988065, 34.08311381 -118.19987227, 34.08319142 -118.1998649, 34.08319482 -118.19998518, 34.08355697 -118.21280492, 34.08347324 -118.21292453))"
104,"POLYGON ((34.091145 -118.2083754, 34.09416321 -118.20856447, 34.0927962 -118.21511, 34.08896449 -118.21934184, 34.08878343 -118.21891861, 34.08755986 -118.215142, 34.08898831 -118.2090069, 34.08905666 -118.2089109, 34.091145 -118.2083754))"
105,"POLYGON ((34.09111681 -118.22357449, 34.08640644 -118.21902222, 34.09273833 -118.22081001, 34.09282655 -118.22083533, 34.09291786 -118.22103788, 34.09111681 -118.22357449))"
106,"POLYGON ((34.06268544 -118.22853454, 34.06275371 -118.22835344, 34.0628747 -118.22841556, 34.06300791 -118.2286373, 34.06298503 -118.22867783, 34.06271634 -118.22862591, 34.06268544 -118.22853454))"
107,"POLYGON ((33.96883706 -118.30378653, 33.97026895 -118.30795246, 33.96956372 -118.30710615, 33.96822036 -118.30346522, 33.96883706 -118.30378653))"
